,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,Timestamp
0,1,Bitcoin,BTC,bitcoin,11628,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19736753.0,19736753.0,False,,1,,,,2024-08-07T13:28:00.000Z,57161.26253942936,43791189836.18294,-32.1811,-0.06269351,3.58408072,-13.94897708,-0.06523409,-17.43324051,-6.86327776,1128177719908.8699,56.1902,1200386513328.02,,2024-08-07T13:28:00.000Z,,,,,,2024-08-07 13:29:17.452722
1,1027,Ethereum,ETH,ethereum,9192,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120259132.65811664,120259132.65811664,True,,2,,,,2024-08-07T13:27:00.000Z,2463.676137354859,23698935054.12231,-29.9327,-0.14324173,0.75185965,-26.02163047,-19.26980524,-32.90993395,-17.46859181,296279555428.7944,14.7565,296279555428.79,,2024-08-07T13:27:00.000Z,,,,,,2024-08-07 13:29:17.452722
2,825,Tether USDt,USDT,tether,93700,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,114551170628.49146,117068083201.87021,True,,3,,,,2024-08-07T13:27:00.000Z,1.0003648829918719,72574298954.4015,-31.7009,-0.11330391,0.03324837,0.08657973,0.06700114,0.07153403,0.09347499,114592968402.3528,5.7075,117110799354.32,,2024-08-07T13:27:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-08-07 13:29:17.452722
3,1839,BNB,BNB,bnb,2206,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,145936819.55949986,145936819.55949986,False,,4,,,,2024-08-07T13:27:00.000Z,489.43729365278756,1924466108.740273,-24.1005,0.17545735,3.3536005,-16.57407554,-5.25114854,-27.99712604,-17.57652265,71426922009.49681,3.5575,71426922009.5,,2024-08-07T13:27:00.000Z,,,,,,2024-08-07 13:29:17.452722
4,5426,Solana,SOL,solana,714,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,466354897.77589375,581806551.8200686,True,,5,,,,2024-08-07T13:27:00.000Z,152.6971122478373,5524193009.823842,-30.224,0.43559316,10.78440028,-16.17889812,8.10751023,-3.95394549,6.15114969,71211046173.01434,3.5473,88840180349.8,,2024-08-07T13:27:00.000Z,,,,,,2024-08-07 13:29:17.452722
5,3408,USDC,USDC,usd-coin,21391,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'base-ecosystem', 'fiat-stablecoin']",,34418439418.04683,34418439418.04683,False,,6,,,,2024-08-07T13:27:00.000Z,0.9999205544686296,9096056705.650314,-34.5325,-0.00954801,0.02710458,-0.00479372,0.00174491,-0.00368457,0.00719864,34415705026.838326,1.7141,34415705026.84,,2024-08-07T13:27:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-08-07 13:29:17.452722
6,52,XRP,XRP,xrp,1361,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,55999283950.0,99987385748.0,False,,7,,,,2024-08-07T13:28:00.000Z,0.5123259863668997,1426646301.4546356,-38.0897,-0.80966476,2.19536345,-21.46056999,16.45503904,4.14360718,-0.2490917,28689888385.52385,1.4289,51232598636.69,,2024-08-07T13:28:00.000Z,,,,,,2024-08-07 13:29:17.452722
7,74,Dogecoin,DOGE,dogecoin,1034,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,145435696383.70526,145435696383.70526,True,,8,,,,2024-08-07T13:28:00.000Z,0.10082281550431246,986529113.2004259,-40.853,0.80643502,5.6764226,-20.3483988,-7.93720129,-30.07425732,-31.49883723,14663236384.23552,0.7303,14663236384.24,,2024-08-07T13:28:00.000Z,,,,,,2024-08-07 13:29:17.452722
8,11419,Toncoin,TON,toncoin,492,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,2518260013.7773733,5110131070.83918,True,,9,3414166606.0,19432235463.340473,,2024-08-07T13:27:00.000Z,5.691648271994279,315296355.68811256,-39.6059,0.05105112,4.31694189,-16.66748861,-21.32315392,-19.59579574,-6.03131147,14333050255.848276,0.7139,29085068679.01,,2024-08-07T13:27:00.000Z,,,,,,2024-08-07 13:29:17.452722
9,2010,Cardano,ADA,cardano,1220,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35925617164.15,37102998493.685,False,,10,,,,2024-08-07T13:27:00.000Z,0.3342458563151882,330131891.40021557,-43.0647,0.00144927,3.94175772,-17.41864736,-11.63956422,-23.00350373,-26.19450185,12007988672.682941,0.5981,15041063534.18,,2024-08-07T13:27:00.000Z,,,,,,2024-08-07 13:29:17.452722
